Neighbourhood,Neighbourhood ID,"Total Population, 2016",Children (0-14 years),Youth (15-24 years),Working Age (25-54 years),Pre-retirement (55-64 years),Seniors (65+ years),numberOfYouthMales,numberWorkingAgeMales,number55PlusMales,numberOfYouthFemales,numberWorkingAgeFemales,number55PlusFemales
Agincourt North,129,"29,113","3,840","3,705","11,305","4,230","6,970","1,855","5,340","4,705","1,840","4,970","5,550"
Agincourt South-Malvern West,128,"23,757","3,075","3,360","9,965","3,265","4,660","1,780","4,830","3,425","1,585","4,155","3,930"
Alderwood,20,"12,054","1,760","1,235","5,220","1,825","2,335",640,"2,595","1,805",600,"2,270","2,020"
Annex,95,"30,526","2,360","3,750","15,040","3,480","6,950","1,680","7,350","4,190","2,070","5,420","5,215"
Banbury-Don Mills,42,"27,695","3,605","2,730","10,810","3,555","8,615","1,415","5,050","4,425","1,310","5,015","6,125"
Bathurst Manor,34,"15,873","2,325","1,940","6,655","2,030","3,650","1,020","3,105","2,135",915,"3,045","2,815"
Bay Street Corridor,76,"25,797","1,695","6,860","13,065","1,760","2,750","3,070","6,420","1,895","3,795","4,220","2,300"
Bayview Village,52,"21,396","2,415","2,505","10,310","2,540","4,225","1,255","4,830","2,665","1,240","4,320","3,500"
Bayview Woods-Steeles,49,"13,154","1,515","1,635","4,490","1,825","4,425",830,"2,050","2,350",800,"2,035","3,160"
Bedford Park-Nortown,39,"23,236","4,555","3,210","8,410","3,075","4,640","1,645","3,715","3,160","1,565","4,235","3,920"
Beechborough-Greenbrook,112,"6,577","1,120",855,"2,750",885,"1,110",425,"1,245",875,430,"1,275",955
Bendale,127,"29,960","4,550","4,605","12,050","3,535","6,150","2,325","5,765","3,975","2,285","5,120","4,820"
Birchcliffe-Cliffside,122,"22,291","3,345","2,440","9,075","3,520","4,540","1,235","4,400","3,440","1,190","4,160","4,010"
Black Creek,24,"21,737","4,600","3,290","8,525","2,425","3,240","1,605","3,865","2,330","1,680","3,845","2,970"
Blake-Jones,69,"7,727","1,405",885,"3,605",940,"1,010",455,"1,725",850,430,"1,645",990
Briar Hill-Belgravia,108,"14,257","1,855","1,655","6,740","1,925","2,410",820,"3,145","1,680",850,"3,060","2,325"
