Hood#,Total Population,Child0-14,Youth15-24,Seniors65,  Total visible minority population,    South Asian,    Chinese,    Black,    Filipino,    Latin American,    Arab,    Southeast Asian,    West Asian,    Korean,    Japanese,"    Visible minority, n.i.e.",    Multiple visible minorities,  Not a visible minority,Total - Mobility status 5 years ago,  Non-movers,  Movers,Total recent immigrant population in private households by selected places of birth,Middle East/Western Asia,Eastern,South East,Southern,    Other places of birth in Asia,Americas w/o USA,  Europe,  Africa,Total population aged 15 years and over by labour force status ,  In the labour force ,    Unemployed,  Not in the labour force,"  No certificate, diploma or degree","    College, CEGEP or other non-university certificate or diploma",    University certificate or diploma below bachelor level,Total number of private households by tenure,  Owner,  Renter,  % of owner households spending 30% or more of household total income on shelter costs,  Major repairs needed,  Average monthly shelter costs for rented dwellings ($),  Average after-tax family income $ (Family income in 2010 of economic families),Household income in 2010 of private households,  Median household total income $,  Median after-tax household income $
1,34100,5970,5405,4305,26475,13080,695,6385,1470,1220,235,820,220,100,55,1615,580,6855,31460,20635,10820,2750,0,65,250,1495,40,530,40,260,27365,17610,1750,9755,6170,4375,1445,10130,7075,3050,27.9,415,945,72820,10130,66241,59703
2,32790,7665,5020,2945,28175,12720,200,8285,680,870,1605,560,1160,85,0,1565,435,4525,30105,16210,13895,5850,1380,0,120,2625,30,710,75,830,24980,14655,2175,10320,6855,3325,1090,9610,4540,5070,33.3,1100,921,57411,9610,49934,46986
3,10140,1825,1350,1745,6285,2285,105,1530,485,670,210,200,285,0,10,225,275,3705,9380,6290,3085,1070,195,0,80,400,0,190,15,130,8135,4825,530,3315,1970,1180,650,3225,2080,1145,25.1,170,887,70838,3225,62042,57522
4,10485,1585,1315,1915,4425,1435,200,1025,245,650,55,85,40,90,50,385,175,5735,9705,6890,2815,800,0,35,20,405,0,255,50,0,8600,5270,590,3330,2095,1450,350,3945,2010,1935,19.7,340,857,69367,3945,56545,51194
5,9550,2110,1380,1095,5510,925,120,2150,605,695,80,400,265,55,0,70,145,4030,8935,6200,2740,545,30,0,50,80,0,205,55,90,7495,4640,575,2850,2025,1395,260,3225,1910,1315,34.3,320,966,61196,3225,50846,49425
6,21725,4465,2895,3420,12180,3965,450,4415,555,815,225,275,730,175,40,240,290,9440,20160,12555,7610,1890,90,0,190,525,60,240,120,550,17255,9855,920,7400,4395,2775,765,7655,3975,3675,25.7,670,1052,68145,7655,55454,50714
7,21345,3375,2675,4515,7915,2425,460,2250,435,950,175,115,245,365,80,195,215,13520,20295,13130,7170,1225,65,55,60,300,0,175,280,245,17920,10190,835,7730,3760,2650,1140,8145,4605,3540,19.7,515,1124,79241,8140,63701,57048
8,10580,1475,1145,2840,2435,380,105,960,80,410,185,25,25,140,0,35,85,7270,9210,6070,3140,400,0,0,15,0,0,85,210,55,8250,4885,405,3365,1620,1210,320,3930,2585,1350,29.7,350,1041,81267,3930,60410,54919
9,14945,2180,1860,2810,2610,200,265,580,165,540,155,70,95,290,45,35,160,12295,14310,9020,5290,755,0,20,35,15,15,325,185,65,12655,7880,635,4770,1725,1780,795,6020,3230,2790,22.6,300,1127,119581,6020,71646,62463
10,11200,1750,1750,1925,1810,540,330,290,125,60,25,25,20,245,55,0,100,9340,10735,7730,3005,495,0,105,40,80,10,65,120,55,9440,6005,425,3435,1085,1460,450,3885,3290,595,16.3,105,1194,144943,3885,114844,93391
